VNET,"21Vianet Group, Inc."
TEUM,Pareteum Corporation
PCYG,"Park City Group, Inc."
PKE,Park Electrochemical Corporation
PAYC,"Paycom Software, Inc."
PCTY,Paylocity Holding Corporation
PCTI,"PC-Tel, Inc."
PDFS,"PDF Solutions, Inc."
PEGA,Pegasystems Inc.
PNR,Pentair plc.
PRFT,"Perficient, Inc."
PERI,Perion Network Ltd
PRSP,Perspecta Inc.
PLAB,"Photronics, Inc."
PHUN,"Phunware, Inc."
PHUNW,"Phunware, Inc."
PT,Pintec Technology Holdings Limited
PVTL,"Pivotal Software, Inc."
PXLW,"Pixelworks, Inc."
PLXS,Plexus Corp.
PS,"Pluralsight, Inc."
PNTR,Pointer Telocation Ltd.
POWI,"Power Integrations, Inc."
PBTS,"Powerbridge Technologies Co., Ltd."
PSDO,"Presidio, Inc."
IPDN,"Professional Diversity Network, Inc."
PRGS,Progress Software Corporation
PFPT,"Proofpoint, Inc."
PRO,"PROS Holdings, Inc."
PTC,PTC Inc.
PSTG,"Pure Storage, Inc. "
QTWO,"Q2 Holdings, Inc."
QADA,QAD Inc.
QADB,QAD Inc.
QRVO,"Qorvo, Inc."
QCOM,QUALCOMM Incorporated
QBAK,Qualstar Corporation
QLYS,"Qualys, Inc."
QTNA,"Quantenna Communications, Inc."
QRHC,Quest Resource Holding Corporation
QUIK,QuickLogic Corporation
QUMU,Qumu Corporation
RDCM,Radcom Ltd.
RMBS,"Rambus, Inc."
RPD,"Rapid7, Inc."
RCMT,"RCM Technologies, Inc."
RNWK,"RealNetworks, Inc."
RP,"RealPage, Inc."
RHT,"Red Hat, Inc."
RDVT,"Red Violet, Inc."
SOL,Renesola Ltd.
RENN,Renren Inc.
RCII,Rent-A-Center Inc.
RESN,Resonant Inc.
RXN,Rexnord Corporation
RBBN,Ribbon Communications Inc. 
RNG,"Ringcentral, Inc."
RHI,Robert Half International Inc.
RST,Rosetta Stone
RBCN,"Rubicon Technology, Inc."
RMBL,"RumbleOn, Inc."
SABR,Sabre Corporation
SFET,Safe-T Group Ltd.
SAIL,"SailPoint Technologies Holdings, Inc."
CRM,Salesforce.com Inc
SANM,Sanmina Corporation
SAP,SAP SE
SPNS,Sapiens International Corporation N.V.
SCSC,"ScanSource, Inc."
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
SGMS,Scientific Games Corp
SEAC,"SeaChange International, Inc."
STX,Seagate Technology PLC
SCWX,SecureWorks Corp.
SMI,Semiconductor  Manufacturing International Corporation
LEDS,SemiLEDS Corporation
SMTC,Semtech Corporation
SQNS,Sequans Communications S.A.
NOW,"ServiceNow, Inc."
SGOC,"SGOCO Group, Ltd"
SHSP,"SharpSpring, Inc."
PIXY,"ShiftPixy, Inc."
SHOP,Shopify Inc.
SSTI,"ShotSpotter, Inc."
SSTK,"Shutterstock, Inc."
SWIR,"Sierra Wireless, Inc."
SIFY,Sify Technologies Limited
SGMA,"SigmaTron International, Inc."
SILC,Silicom Ltd
SLAB,"Silicon Laboratories, Inc."
SIMO,Silicon Motion Technology Corporation
SLP,"Simulations Plus, Inc."
SINA,Sina Corporation
SWKS,"Skyworks Solutions, Inc."
SGH,"SMART Global Holdings, Inc."
SMAR,Smartsheet Inc.
SMSI,"Smith Micro Software, Inc."
SMTX,SMTC Corporation
SNAP,Snap Inc.
SRAX,"Social Reality, Inc."
SCKT,"Socket Mobile, Inc."
SOGO,Sogou Inc.
SOHU,Sohu.com Limited 
SEDG,"SolarEdge Technologies, Inc."
SWI,SolarWinds Corporation
ANY,Sphere 3D Corp.
SPI,"SPI Energy Co., Ltd."
SPLK,Splunk Inc.
SPSC,"SPS Commerce, Inc."
SPXC,SPX Corporation
FLOW,"SPX FLOW, Inc."
SQ,"Square, Inc."
SSNC,"SS&C Technologies Holdings, Inc."
STAF,"Staffing 360 Solutions, Inc."
SXI,Standex International Corporation
SRT,"StarTek, Inc."
STM,STMicroelectronics N.V.
STNE,StoneCo Ltd.
SSYS,"Stratasys, Ltd."
STRM,"Streamline Health Solutions, Inc."
WISA,"Summit Wireless Technologies, Inc."
SPWR,SunPower Corporation
SPCB,"SuperCom, Ltd."
SCON,Superconductor Technologies Inc.
SPRT,"support.com, Inc."
SVMK,SVMK Inc.
SWCH,"Switch, Inc."
SYKE,"Sykes Enterprises, Incorporated"
SYMC,Symantec Corporation
SYNC,"Synacor, Inc."
SYNA,Synaptics Incorporated
SNCR,"Synchronoss Technologies, Inc."
SNX,Synnex Corporation
SNPS,"Synopsys, Inc."
DATA,"Tableau Software, Inc."
TSM,Taiwan Semiconductor Manufacturing Company Ltd.
TTWO,"Take-Two Interactive Software, Inc."
TLND,Talend S.A.
TAOP,Taoping Inc.
TRNX,"Taronis Technologies, Inc."
TECD,Tech Data Corporation
TCCO,Technical Communications Corporation
TLRA,"Telaria, Inc."
TENB,"Tenable Holdings, Inc."
TNC,Tennant Company
TDC,Teradata Corporation
TXN,Texas Instruments Incorporated
TGH,Textainer Group Holdings Limited
DSGX,The Descartes Systems Group Inc.
KEYW,The KEYW Holding Corporation
MIDD,The Middleby Corporation
RUBI,"The Rubicon Project, Inc."
TSG,The Stars Group Inc.
TTD,"The Trade Desk, Inc."
ULTI,"The Ultimate Software Group, Inc."
TISA,"Top Image Systems, Ltd."
TSEM,Tower Semiconductor Ltd.
TACT,TransAct Technologies Incorporated
TZOO,Travelzoo
TRT,Trio-Tech International
TRIP,"TripAdvisor, Inc."
TRTN,Triton International Limited
TRVG,trivago N.V.
TBI,"TrueBlue, Inc."
TRUE,"TrueCar, Inc."
TSRI,"TSR, Inc."
TTEC,"TTEC Holdings, Inc."
TTMI,"TTM Technologies, Inc."
TCX,Tucows Inc.
TUFN,Tufin Software Technologies Ltd.
TWLO,Twilio Inc.
TWIN,"Twin Disc, Incorporated"
TWTR,"Twitter, Inc."
TYL,"Tyler Technologies, Inc."
UBNT,"Ubiquiti Networks, Inc."
UCTT,"Ultra Clean Holdings, Inc."
UIS,Unisys Corporation
UMC,United Microelectronics Corporation
URI,"United Rentals, Inc."
UPLD,"Upland Software, Inc."
UPWK,Upwork Inc.
VRNS,"Varonis Systems, Inc."
VECO,Veeco Instruments Inc.
VEEV,Veeva Systems Inc.
VRNT,Verint Systems Inc.
VRSN,"VeriSign, Inc."
VRSK,"Verisk Analytics, Inc."
VERI,"Veritone, Inc."
VSAT,"ViaSat, Inc."
VIAV,Viavi Solutions Inc.
VRTU,Virtusa Corporation
VMW,"Vmware, Inc."
VISI,"Volt Information Sciences, Inc."
VUZI,Vuzix Corporation
WSTG,"Wayside Technology Group, Inc."
WB,Weibo Corporation
WBT,"Welbilt, Inc."
WDC,Western Digital Corporation
WYY,WidePoint Corporation
WIT,Wipro Limited
WIX,Wix.com Ltd.
WDAY,"Workday, Inc."
WK,Workiva Inc.
WPP,WPP plc
XRX,Xerox Corporation
XLNX,"Xilinx, Inc."
XPER,Xperi Corporation
XNET,Xunlei Limited
YNDX,Yandex N.V.
YEXT,"Yext, Inc."
YY,YY Inc.
ZBRA,Zebra Technologies Corporation
ZDGE,"Zedge, Inc."
ZEN,"Zendesk, Inc."
ZIXI,Zix Corporation
ZS,"Zscaler, Inc."
ZUO,"Zuora, Inc."
ZNGA,Zynga Inc.
